52489, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.04, -0.21, 0.07, 0, 0, 0, 559, 24.96, 568.34, 94682.25, 25.24
53112, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.05, -0.16, -0.16, 0, 0, 0, 559, 24.96, 568.49, 94680.57, 25.19
53739, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.11, -0.24, 0.06, 0, 0, 0, 559, 24.96, 568.04, 94685.67, 25.20
54379, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.22, -0.19, 0.00, 0, 0, 0, 559, 24.96, 568.94, 94675.47, 25.19
55002, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.38, -0.21, -0.15, 0, 0, 0, 559, 24.96, 570.13, 94661.89, 25.19
55637, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.05, 0.19, 0.00, 0, 0, 0, 559, 24.96, 568.00, 94686.18, 25.23
56262, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.36, -0.21, 0.08, 0, 0, 0, 559, 24.96, 568.22, 94683.62, 25.20
56884, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.35, -0.39, -0.26, 0, 0, 0, 559, 24.95, 568.06, 94685.43, 25.20
57536, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.43, 0.11, 1.31, 0, 0, 0, 559, 24.95, 568.12, 94684.78, 25.19
58157, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.24, -0.04, -0.16, 0, 0, 0, 559, 24.95, 568.26, 94683.15, 25.19
58799, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.02, -0.43, -0.09, 0, 0, 0, 559, 24.95, 568.33, 94682.35, 25.24
59419, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.46, -0.11, -0.24, 0, 0, 0, 559, 24.95, 569.08, 94673.89, 25.19
60065, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.60, -0.22, 0.40, 0, 0, 0, 559, 24.95, 568.75, 94677.59, 25.19
